id,name,year,chart_rank,de_rank,type,sex,,
Label_LifeIsPain,Life Is Pain,,,,3,,,
BenediktSchöller,Benedikt Schöller,,,,2,m,,
JoshuaAllery,Joshua Allery,,,,2,m,,
JuhDee,Juh-Dee,,,,2,m,,
LaurinAuth,Laurin Auth,,,,2,m,,
YoungMesh,Young Mesh,,,,2,m,,
Label_Futura,Futura,,,,3,,,
RalfChristianMayer,Ralf Christian Mayer,,,,2,m,,
DanielNitt,Daniel Nitt,,,,2,m,,
MarkForster,Mark Forster,,,,2,m,,
SkiAggu,Ski Aggu,,,,2,m,,
JoostKlein,Joost Klein,,,,2,m,,
LEA,LEA,,,,2,f,,
BerndEilert,Bernd Eilert,,,,2,m,,
OttoWalkes,Otto Walkes,,,,2,m,,
TantuBeats,Tantu Beats,,,,2,m,,
ViezeAsbak,Vieze Asbak,,,,2,m,,
Nimo,Nimo,,,,2,m,,
Sting,Sting,,,,2,m,,
NeilDorfsman,Neil Dorfsman,,,,2,m,,
Koda,Koda,,,,2,m,,
Kalli,Kalli,,,,2,m,,
Jungeratze,Jungeratze,,,,2,m,,
Label_AlbinoSports,Albino Sports,,,,3,,,
LexBarkley,Lex Barkley,,,,2,m,,
Dokii,Dokii,,,,2,m,,
PeterPlate,Peter Plate,,,,2,m,,
UlfLeoSommer,Ulf Leo Sommer,,,,2,m,,
DanielFaust,Daniel Faust,,,,2,m,,
LucaDanteSpadafora,Luca-Dante Spadafora,,,,2,m,,
NiklasDee,Niklas Dee,,,,2,m,,
Octavian,Octavian,,,,2,m,,
LucaManuelMontesinosGargallo,Luca Manuel Montesinos Gargallo,,,,2,m,,
Was_du_Liebe_nennst_17,Was du Liebe nennst ,2017,8,1,1,,,
Bausa,Bausa,,,,2,m,,
JoachimPiehl,Joachim Piehl,,,,2,m,,
ShottaPaul,Shotta Paul (Jugglerz),,,,2,m,,
Meska,Meska (Jugglerz),,,,2,m,,
DJCutlass,DJ Cutlass (Jugglerz),,,,2,m,,
DJSmo,DJ Smo (Jugglerz),,,,2,m,,
Jopez,Jopez (Jugglerz),,,,2,m,,
SirJai,Sir Jai (Jugglerz),,,,2,m,,
JonasNikolausLang,Jonas Nikolaus Lang,,,,2,m,,
Label_Downbeat,Downbeat Records,,,,3,,,
Ohne_mein_Team_17,Ohne mein Team,2017,17,2,1,,,
Maxwell,Maxwell,,,,2,m,,
Label_AKF,AUF!KEINEN!FALL!,,,,3,,,
Label_Indipendenza,Indipendenza,,,,3,,,
Heute_mit_mir_17,Heute mit mir,2017,31,3,1,,,
Nimo,Nimo,,,,2,m,,
PZY,PZY,,,,2,m,,
Label_385ideal,385ideal,,,,3,,,
Wohin_willst_du_17,Wohin willst du,2017,36,4,1,,,
VIZE,Vitali Zestovskih,,,,2,m,,
NicoWendel,Nico Wendel (Gestört aber GeiL),,,,2,m,,
SpikeD,Spike*D (Gestört aber GeiL),,,,2,m,,
JohannesJakobHofmann,Johannes Jakob Hofmann,,,,2,m,,
Label_KontorRecords,Kontor Records,,,,3,,,
Sowieso_17,Sowieso,2017,48,5,1,,,
Shuko,Shuko,,,,2,m,,
JulesKalmbacher,Jules Kalmbacher,,,,2,m,,
Bon_voyage_17,Bon Voyage,2017,49,6,1,,,
MiamiYacine,Miami Yacine,,,,2,m,,
Label_KMNG,KMN Gang,,,,3,,,
AriBeatz,AriBeatz,,,,2,m,,
Unendlichkeit_17,Unendlichkeit,2017,50,7,1,,,
CRO,CRO,,,,2,m,,
MichaelGeldreich,Michael Geldreich,,,,2,m,,
Label_Chimperator,Chimperator,,,,3,,,
Ist_da_jemand_17,Ist da jemand,2017,55,8,1,,,
AdelTawil,Adel Tawil,,,,2,m,,
SimonTriebel,Simon Triebel,,,,2,m,,
AliZuckowski,Ali Zuckowski,,,,2,m,,
NicolasRebscher,Nicolas Rebscher,,,,2,m,,
AndreasHerbig,Andreas Herbig,,,,2,m,,
PatrickPykeSalmy,Patrick Pyke Salmy,,,,2,m,,
Label_Polydor,Polydor,,,,3,,,
Label_Island,Island,,,,3,,,
Nummer_1_17,Nummer 1,2017,58,9,1,,,
Zuna,Zuna,,,,2,m,,
Azet,Azet,,,,2,m,,
Aboom,Aboom,,,,2,m,,
Noizy,Noizy,,,,2,m,,
Herzbeben_17,Herzbeben,2017,60,10,1,,,
HeleneFischer,Helene Fischer,,,,2,f,,
ThorstenBrötzmann,Thorsten Brötzmann,,,,2,m,,
